Numero,Tempo_Sequencial,Tempo_5_Threads,Tempo_10_Threads
342630434,766999,2130106,1674891
316665936,764005,890671,1289063
299095154,759775,772610,1152738
1703456927,856008,605029,839147
1725571334,753946,707867,669545
1534527978,746212,472324,729323
832861505,769416,501482,535157
578169396,746727,463315,622743
889464916,773374,427202,609402
19559001,747269,431397,1496214
645056307,833149,1901694,1049908
1841998084,742437,905050,1269368
1903083547,771583,988630,1708895
827633509,764884,805804,695514
1221914492,779492,540669,696730
1297742260,801435,513567,889102
97745061,783199,1857575,1215275
261934757,1205717,601919,1165385
1646109514,766575,953184,915077
166279071,759440,830388,1649840
236246552,784940,1227226,768955
46465322,843075,1668504,1796971
383515849,779044,869251,1290496
817013683,751313,831900,1086528
910655161,781969,662854,1401126
453281614,771600,773675,1023561
1241857078,742213,772224,793163
1344458287,971674,1508576,1279670
1054022254,759143,1190441,1117744
1162095951,773147,1061454,3174863
1348304646,781676,439491,535655
1396652689,762366,521456,695011
1478761888,848414,1144744,4183717
1647399801,761890,2277095,3813047
952625968,788969,498311,1049415
1056849574,785708,1286148,1505705
1034444131,830795,1417279,4832238
1785487474,812794,1010522,827669
1635018970,752295,487193,619418
1923909047,776114,592157,699181
1805046475,799372,730157,1004402
132591630,831106,579358,2379997
1618423483,750775,820819,1220743
1560646374,775626,2749866,1050107
960225139,767170,1798119,1040648
692854328,771927,678250,950985
710904986,757481,1053941,997422
1057970200,756378,555775,550051
954789085,751167,512952,528737
209530853,756630,440987,871492
1224249272,760007,505068,610700
1191035637,823943,538847,691526
255996175,809585,667991,695340
1607765121,873412,570434,1452151
2008049320,777811,1108050,4305737
1166651337,769767,2931678,870777
2061046735,761711,1020689,890261
1102422751,767882,506445,711297
363625976,753346,463259,539445
967585342,757217,490191,947006
117035054,773025,448978,967353
1711930622,759488,555318,705649
216754383,782289,1209959,872153
1595796942,795138,2666719,1191618
1211846775,772159,1064230,1336309
1169380351,791215,681746,2283218
505162869,758823,933501,1431404
98807259,777793,589161,835424
807384177,792407,1680074,1655755
2140181839,795176,1589536,3734899
2022716306,795391,1842686,819785
464947005,804322,931900,979713
125289821,820607,2554598,2724418
1493656142,796120,1241113,1182751
2025593379,820523,1866484,1398838
1085514961,794074,878381,1204407
39026822,844269,596494,819169
589014718,783717,504239,570638
2143485161,790614,429319,533358
993815907,790738,497785,743336
798545571,776124,492948,598542
1220250785,781779,532544,622310
37367896,813410,589394,638023
1054541746,779417,1420178,1542645
680532259,813042,2282756,1200054
2045417216,813290,1920041,944798
73709435,790333,1796382,800566
594095346,810831,448630,1028386
1000356319,784269,1473806,2583832
437335411,951473,3616654,1160479
1561680688,797242,1754358,3230630
1117391374,791512,613044,987460
1782386,788814,566058,660954
1778435071,794651,479839,631428
565704668,780819,407924,558764
1213629161,781547,475476,841552
800331775,795565,433254,647199
1070867537,780350,481506,544328
1312436420,791846,538004,710074
1607715952,794612,1075095,1425284
1063565729,812910,1180403,1018547
1187669079,800549,2320452,1066726
2072662957,824293,2078496,1408673
1188855550,805530,683938,732745
533841573,851466,1537049,1689994
1950772689,1295383,863168,1290381
126886863,786182,3626271,1626504
572868395,789632,716448,845313
392303759,837066,1457680,3723828
122888377,842554,1207152,1051998
1566684302,821280,2426251,1172296
1190849330,805322,1026918,772765
1343139162,819689,2648192,1274648
1604052198,818619,2535552,1101466
97907428,844816,1838369,995232
2023671421,799853,445802,605156
1501985766,816415,443544,1180371
171616864,840381,2974789,1642056
470283120,1705053,5283578,714157
354858438,794104,501786,819564
608952275,806624,648217,2678062
2031963808,814589,940195,1083360
1472249812,812918,1166826,1346451
610734661,810615,969238,2351491
1662915232,841671,912141,1025770
2037954480,808372,538486,690675
1824363823,845528,505349,1032666
315763359,804665,485121,606451
961338370,805559,523161,521022
989316595,802179,499000,587513
1923479311,826577,505197,641575
2024904099,805438,487464,1006665
29502026,804850,570731,1818995
1848658621,818353,952748,1593003
1066276001,825444,2026862,1700211
563343599,1023422,1970119,771479
1651947662,799458,692551,1002107
1193162865,830750,1952929,1498508
1136211994,798635,2174112,2246749
2044251421,856566,1163967,894158
1316051242,818866,1040960,1052209
555412648,813948,483203,1777996
1087617103,1399483,2217613,2089906
511706756,839411,723307,1864752
11981198,889147,1257680,755380
1185524531,819210,546615,708575
387894530,844051,943422,2355669
1513966965,948997,928088,1074506
1357141395,845824,1337618,1653066
858177650,860868,2426407,802064
1868825403,855939,727135,840651
1966093671,868160,582600,703472
742657810,812582,525116,832974
1193591567,824352,401993,861998
429344684,859677,554731,1098862
258089394,837998,571930,618166
1084062399,817551,469229,557649
106224859,815729,579083,763285
573852753,866981,1455428,2414227
2045400769,854954,3056354,3028742
1095541455,831025,433120,618711
349848417,824118,464080,590132
1922821220,819539,658500,923883
1125043481,851120,2362118,4256500
51023390,837761,1956730,1306694
841613574,834621,484149,669798
1688387081,822818,1069188,1667062
1702971052,874564,1463670,894194
2034776439,842385,721381,940964
677115427,831818,1818027,1558148
1599738825,935035,717986,918355
1203344033,857956,779196,1203768
1232528076,1116952,1742044,1046895
539872280,905370,11336314,8013883
1715050789,921036,15597556,12879999
1244509274,875842,2342131,2692483
1725396811,870128,580257,906686
2102945319,860944,581806,828865
610992591,872558,612816,686731
935054559,871957,567206,872220
813639321,860518,513967,7497883
332334346,901451,4786219,1335972
753664582,856859,1099941,1044164
1556297132,839466,1287031,1304851
1525925913,840300,1208713,1089363
1183009266,880663,1358871,1770792
1814386526,857425,925051,950358
462504665,872527,1163136,619372
1289234126,848800,440595,1222862
240755632,868155,540195,1189716
360421786,842152,564653,1034723
237291933,869405,524526,738860
590604049,869329,1928572,5494499
135759359,876264,819855,1045475
1362335414,932867,583058,584701
641627439,844584,556478,874991
977372933,875186,1048869,965094
903238847,856144,524096,672221
197114843,843554,752165,1334538
864665724,880145,1561593,4308909
1580354275,854754,1443429,1071092
1796853668,866542,1289879,1190735
2068009757,852032,645752,900087
665398703,848429,547925,649849
189242300,862871,519389,696872
1635576898,861716,615131,797203
1909907977,867433,535525,590718
1914639111,906483,561624,681511
1591038570,974115,592400,682231
373416921,894281,1584113,2878991
702210022,871690,3085649,2701765
257194243,938775,596544,758837
705751267,883066,1444321,1254662
1455874604,901338,2468868,1273768
1813491375,886064,932684,1070098
84193533,1350212,867083,659004
491400223,934253,725864,808318
1480394254,911889,1156163,1446130
546698198,886203,1085372,1583112
1780634349,896901,901692,1794436
1721149886,895860,1003399,885545
907119984,882122,1012333,2853651
2017926282,1152336,1328869,2415173
164270287,921369,5116254,840294
1042879343,893965,599555,1336778
1232778048,920179,1083100,1497733
805897726,892387,3001613,4650366
2020252276,878013,592031,1107710
2136016896,1161660,2315726,1552107
1003012569,954463,1115083,2305064
737434352,910220,1709045,901499
1568887523,885410,455802,836963
652382589,944137,1131091,2409814
657960461,1082695,1239209,1619862
86802578,890750,644945,1498887
841624889,954540,969023,1349703
146053712,927551,1815925,964962
1996710555,892956,544230,1131694
608780352,891152,448655,597364
1737092282,901289,527429,619368
222643828,894837,451247,592703
1310990375,909557,425259,790300
1994286525,881883,535431,585235
928395096,885333,545636,756864
